tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,pro_jefm,jef_migr,edad
Salida,Ecuatorianos,2022,4,20,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ARGENTINA,ARGENTINA,ORELLANA,1,23
Entrada,Ecuatorianos,2022,5,26,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,Europa,SUIZA SWITZERLAND,ECUADOR,ORELLANA,1,68
Salida,Ecuatorianos,2022,12,8,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,COLOMBIA,ECUADOR,CARCHI,11,14
Salida,Ecuatorianos,2022,10,3,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,GALAPAGOS,12,71
Entrada,Ecuatorianos,2022,2,1,Mujer,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ESPAÑA,ESPAÑA,ORELLANA,1,38
Entrada,Ecuatorianos,2022,5,8,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,ORELLANA,1,62
Salida,Ecuatorianos,2022,10,24,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,CARCHI,11,28
Entrada,Ecuatorianos,2022,12,17,Mujer,ECUADOR,Vía Aérea,Eventos,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,REPUBLICA DOMINICANA DOMINICAN RP,GALAPAGOS,12,41
Salida,Ecuatorianos,2022,9,22,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,ORELLANA,1,33
Salida,Ecuatorianos,2022,4,8,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,ORELLANA,1,64
Salida,Ecuatorianos,2022,11,15,Hombre,ECUADOR,Vía Aérea,Otros,América,América,Europa,REPUBLICA DE MOLDOVA REP MOLDOVA,ECUADOR,ORELLANA,1,27
